A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
6.10E-07,0.0001163,18,1,,1.10E-06,8.96E-05,19,1,,7.50E-07,4.36E-06,15,1,,1.64E-06,0.00013246,26,6,,3.47E-06,0.00014666,26,6,,1.23E-06,4.32E-06,22,0
6.10E-07,0.0001163,25,9,,1.10E-06,8.96E-05,25,10,,7.50E-07,4.36E-06,22,6,,1.66E-06,0.00013246,19,2,,3.47E-06,0.00014666,19,2,,1.25E-06,4.32E-06,14,0
6.30E-07,0.0001163,25,8,,1.12E-06,8.96E-05,25,8,,7.70E-07,4.36E-06,25,7,,1.66E-06,0.00013246,27,0,,3.49E-06,0.00014666,26,0,,1.25E-06,4.32E-06,20,0
6.30E-07,0.0001163,20,7,,1.12E-06,8.96E-05,20,7,,7.70E-07,4.36E-06,19,6,,1.66E-06,0.00013246,16,6,,3.49E-06,0.00014666,16,6,,1.27E-06,4.32E-06,15,0
6.30E-07,0.0001163,15,1,,1.13E-06,8.96E-05,15,1,,7.70E-07,4.36E-06,13,1,,1.68E-06,0.00013246,26,11,,3.50E-06,0.00014666,26,4,,1.27E-06,4.32E-06,23,0
6.40E-07,0.0001163,18,13,,1.13E-06,8.96E-05,18,13,,7.80E-07,4.36E-06,16,11,,1.68E-06,0.00013246,29,6,,3.50E-06,0.00014667,28,5,,1.27E-06,4.32E-06,25,0
6.40E-07,0.0001163,12,8,,1.13E-06,8.96E-05,11,9,,7.80E-07,4.36E-06,10,6,,1.70E-06,0.00013246,27,1,,3.50E-06,0.00014667,28,0,,1.29E-06,4.32E-06,26,0
7.20E-07,0.0001163,15,9,,1.15E-06,8.96E-05,15,9,,8.00E-07,4.36E-06,14,8,,1.70E-06,0.00013246,31,0,,3.52E-06,0.00014667,31,0,,1.29E-06,4.32E-06,23,0
7.20E-07,0.0001163,19,7,,1.15E-06,8.96E-05,18,7,,8.00E-07,4.36E-06,18,6,,1.70E-06,0.00013246,24,16,,3.52E-06,0.00014674,24,8,,1.31E-06,4.32E-06,21,0
7.20E-07,0.0001163,20,4,,1.16E-06,8.96E-05,20,4,,8.00E-07,4.36E-06,19,4,,1.72E-06,0.00013246,28,5,,3.54E-06,0.00014674,29,8,,1.31E-06,4.32E-06,24,0
7.30E-07,0.0001163,22,7,,1.16E-06,8.96E-05,22,7,,8.20E-07,4.36E-06,19,7,,1.72E-06,0.00013246,25,1,,3.54E-06,0.00014674,23,2,,1.31E-06,4.32E-06,20,0
